word,sense,pos,ipa
acerto,adjust,VERB,ɐˈsɛɾtu
acerto,settlement,NOUN,ɐˈseɾtu
acordo,agreement,NOUN,ɐˈkoɾdu
acordo,wake,VERB,ɐˈkɔɾdu
cerro,hill,NOUN,ˈseʁu
cerro,shut,VERB,ˈsɛʁu
choro,weep,VERB,ˈʃɔɾu
choro,weeping,NOUN,ˈʃoɾu
colher,harvest,VERB,kuˈʎeɾ
colher,spoon,NOUN,kuˈʎɛɾ
começo,begin,VERB,kuˈmɛsu
começo,beginning,NOUN,kuˈmesu
conserto,mend,VERB,kõˈsɛɾtu
conserto,repair,NOUN,kõˈseɾtu
coro,blush,VERB,ˈkɔɾu
coro,choir,NOUN,ˈkoɾu
corte,court,NOUN,ˈkoɾtɨ
corte,cut,NOUN|VERB,ˈkɔɾtɨ
forma,mould,NOUN,ˈfoɾmɐ
forma,shape,NOUN|VERB,ˈfɔɾmɐ
gosto,like,VERB,ˈgɔʃtu
gosto,taste,NOUN,ˈgoʃtu
gozo,enjoy,VERB,ˈgɔzu
gozo,enjoyment,NOUN,ˈgozu
jogo,game,NOUN,ˈʒoɡu
jogo,play,VERB,ˈʒɔɡu
molho,bundle,NOUN,ˈmɔʎu
molho,sauce,NOUN|VERB,ˈmoʎu
olho,eye,NOUN,ˈoʎu
olho,look,VERB,ˈɔʎu
para,purpose,ADP,ˈpɐɾɐ
para,stop,VERB,ˈpaɾɐ
pelo,by_the,ADP,ˈpɨlu
pelo,hair,NOUN,ˈpelu
pelo,peel,VERB,ˈpɛlu
peso,weigh,VERB,ˈpɛzu
peso,weight,NOUN,ˈpezu
porto,carry,VERB,ˈpɔɾtu
porto,harbour,NOUN,ˈpoɾtu
posto,post,VERB,ˈpɔʃtu
posto,station,NOUN,ˈpoʃtu
rego,furrow,NOUN,ˈʁeɡu
rego,water,VERB,ˈʁɛɡu
seco,dry,ADJ,ˈseku
seco,dry_vb,VERB,ˈsɛku
sede,seat,NOUN,ˈsɛdɨ
sede,thirst,NOUN,ˈsedɨ
sobre,about,ADP,ˈsobɾɨ
sobre,leftover,VERB,ˈsɔbɾɨ
sobre,sail,NOUN,ˈsobɾɨ
tola,foolish,ADJ|NOUN,ˈtolɐ
tola,head,NOUN,ˈtɔlɐ
torre,roast,VERB,ˈtɔʁɨ
torre,tower,NOUN,ˈtoʁɨ
transtorno,disorder,NOUN,tɾɐ̃ʃˈtoɾnu
transtorno,upset,VERB,tɾɐ̃ʃˈtɔɾnu
torno,lathe,NOUN,ˈtoɾnu
torno,turn,VERB,ˈtɔɾnu
troco,change,NOUN,ˈtɾoku
troco,exchange,VERB,ˈtɾɔku
toco,stump,NOUN,ˈtoku
toco,play,VERB,ˈtɔku
rogo,plea,NOUN,ˈʁoɡu
rogo,beg,VERB,ˈʁɔɡu
choco,addled,ADJ,ˈʃoku
choco,cuttlefish,NOUN,ˈʃoku
choco,hatch,VERB,ˈʃɔku
contorno,contour,NOUN,kõˈtoɾnu
contorno,circumvent,VERB,kõˈtɔɾnu
entorno,surroundings,NOUN,ẽˈtoɾnu
entorno,spill,VERB,ẽˈtɔɾnu
almoço,lunch,NOUN,ɐɫˈmosu
almoço,dine,VERB,ɐɫˈmɔsu
rolo,roll,NOUN,ˈʁolu
rolo,tumble,VERB,ˈʁɔlu
soco,punch,NOUN,ˈsoku
soco,strike,VERB,ˈsɔku
esforço,effort,NOUN,ɨʃˈfoɾsu
esforço,strive,VERB,ɨʃˈfɔɾsu
conforto,comfort,NOUN,kõˈfoɾtu
conforto,soothe,VERB,kõˈfɔɾtu
aborto,abortion,NOUN,ɐˈboɾtu
aborto,abort,VERB,ɐˈbɔɾtu
adorno,adornment,NOUN,ɐˈdoɾnu
adorno,adorn,VERB,ɐˈdɔɾnu
reforço,reinforcement,NOUN,ʁɨˈfoɾsu
reforço,reinforce,VERB,ʁɨˈfɔɾsu
soldo,pay,NOUN,ˈsoɫdu
soldo,weld,VERB,ˈsɔɫdu
esboço,sketch,NOUN,ɨʒˈbosu
esboço,outline,VERB,ɨʒˈbɔsu
governo,government,NOUN,ɡuˈveɾnu
governo,govern,VERB,ɡuˈvɛɾnu
emprego,job,NOUN,ẽˈpɾeɡu
emprego,employ,VERB,ẽˈpɾɛɡu
selo,stamp,NOUN,ˈselu
selo,seal,VERB,ˈsɛlu
gelo,ice,NOUN,ˈʒelu
gelo,freeze,VERB,ˈʒɛlu
zelo,zeal,NOUN,ˈzelu
zelo,tend,VERB,ˈzɛlu
cerco,siege,NOUN,ˈseɾku
cerco,surround,VERB,ˈsɛɾku
erro,error,NOUN,ˈeʁu
erro,err,VERB,ˈɛʁu
tempero,seasoning,NOUN,tẽˈpeɾu
